location,lat,lon,temp_c,humidity,wind_kph,pressure_mb,precip_mm,cloud,wave_height,precip_3h_trend,pressure_trend,wind_gust_factor,is_severe,anomaly_score,model_risk_score,composite_risk_score,risk_category,household_resources
eThekwini (Durban),-29.8587,31.0218,16.443666,64.791664,49.60481,1021.37085,0.0,33.625,1.6233333349227905,0.0,0.44999185,2.2226377,0,18.91964340209961,2.0,7.0758930206298825,Low,"{'food_packs': 12.0, 'water_gallons': 12.0, 'shelter_needed': False, 'boats_needed': 0.0}"
King Cetshwayo (Richards Bay),-28.7807,32.0383,19.639,72.833336,51.612698,1020.6458,0.0,60.208332,2.0508334636688232,0.0,0.43333945,1.4132211,0,24.45462989807129,9.0,13.636388969421386,Low,"{'food_packs': 12.0, 'water_gallons': 12.0, 'shelter_needed': False, 'boats_needed': 0.0}"
Ugu (Port Shepstone),-30.7414,30.454,14.955585,68.833336,52.946,1021.6667,0.0,25.5,1.9233332872390747,0.0,0.44999185,1.914043,0,22.35694694519043,11.0,14.407084083557127,Low,"{'food_packs': 12.0, 'water_gallons': 12.0, 'shelter_needed': False, 'boats_needed': 0.0}"
iLembe (Ballito),-29.5389,31.214,18.301668,69.791664,61.461014,1021.1375,0.0,29.458334,0.0,0.0,0.3999939,2.0409024,0,7.495898803075155,2.0,3.6487696409225463,Low,"{'food_packs': 12.0, 'water_gallons': 12.0, 'shelter_needed': False, 'boats_needed': 0.0}"
uThukela (Ladysmith),-28.5539,29.7784,18.919916,37.583332,119.48528,1018.6584,0.0,26.875,0.0,0.0,1.3999939,2.5058517,0,16.976953744888306,1.0,5.793086123466492,Low,"{'food_packs': 12.0, 'water_gallons': 12.0, 'shelter_needed': False, 'boats_needed': 0.0}"
uMgungundlovu (Pietermaritzburg),-29.6006,30.3794,14.065501,62.333332,55.667686,1021.7083,0.0,39.333332,0.0,0.0,0.4833374,2.37088,0,3.243189752101898,14.000000000000002,10.77295692563057,Low,"{'food_packs': 12.0, 'water_gallons': 12.0, 'shelter_needed': False, 'boats_needed': 0.0}"
Amajuba (Newcastle),-27.7577,29.9318,18.876333,23.0,109.6327,1019.75,0.0,30.041666,0.0,0.0,0.4833374,1.6950274,0,20.03295143445333,1.0,6.709885430336,Low,"{'food_packs': 12.0, 'water_gallons': 12.0, 'shelter_needed': False, 'boats_needed': 0.0}"
Uthungulu (Empangeni),-28.7489,31.8933,18.6885,69.25,48.699257,1020.6875,0.0,60.75,0.0,0.0,0.46666464,1.7563521,0,10.933004816373188,6.0,7.479901444911956,Low,"{'food_packs': 12.0, 'water_gallons': 12.0, 'shelter_needed': False, 'boats_needed': 0.0}"
UMkhanyakude (Mtubatuba),-28.4176,32.1822,20.031668,68.375,55.65259,1020.3958,0.0,64.458336,0.0,0.0,0.5333455,1.6826051,0,6.704590717951456,14.000000000000002,11.811377215385438,Low,"{'food_packs': 12.0, 'water_gallons': 12.0, 'shelter_needed': False, 'boats_needed': 0.0}"
Zululand (Vryheid),-27.7695,30.7916,21.851585,27.5,105.10392,1018.97076,0.0,41.541668,0.0,0.0,0.9833272,1.8724033,0,15.515245199203491,1.0,5.3545735597610475,Low,"{'food_packs': 12.0, 'water_gallons': 12.0, 'shelter_needed': False, 'boats_needed': 0.0}"
Cape Town,-33.9249,18.4241,15.369667,76.083336,39.4163,1023.7041,1.8000001,46.333332,2.174999952316284,0.0,0.1333313,1.2507865,0,21.404516220092773,13.0,15.521354866027831,Low,"{'food_packs': 12.0, 'water_gallons': 12.0, 'shelter_needed': False, 'boats_needed': 0.0}"
George,-33.963,22.4617,15.8115835,73.125,67.242294,1022.9375,0.0,71.25,0.0,0.0,0.21666463,1.9636766,0,4.446793595949809,53.0,38.43403807878494,Low,"{'food_packs': 12.0, 'water_gallons': 12.0, 'shelter_needed': False, 'boats_needed': 0.0}"
Mossel Bay,-34.183,22.146,15.240916,74.291664,72.68007,1022.8875,0.0,66.125,0.0,0.0,0.25,1.9890984,0,4.93945558865865,37.0,27.381836676597594,Low,"{'food_packs': 12.0, 'water_gallons': 12.0, 'shelter_needed': False, 'boats_needed': 0.0}"
Hermanus,-34.4187,19.2345,15.783833,75.125,83.31778,1023.3833,0.9,46.583332,0.0,0.0,0.1499939,1.4946022,0,1.6541144251823425,40.0,28.496234327554703,Low,"{'food_packs': 12.0, 'water_gallons': 12.0, 'shelter_needed': False, 'boats_needed': 0.0}"
Saldanha,-33.0117,17.944,15.5339155,83.583336,84.59813,1023.7417,0.0,45.666668,0.0,0.0,0.11665853,1.8238708,0,3.9672809839248657,28.999999999999996,21.490184295177457,Low,"{'food_packs': 12.0, 'water_gallons': 12.0, 'shelter_needed': False, 'boats_needed': 0.0}"
Knysna,-34.0363,23.0479,14.411083,76.833336,54.138058,1023.075,0.0,74.083336,0.0,0.0,0.2833252,2.2328303,0,7.637524207433065,39.0,29.591257262229917,Low,"{'food_packs': 12.0, 'water_gallons': 12.0, 'shelter_needed': False, 'boats_needed': 0.0}"
Gqeberha (Port Elizabeth),-33.9608,25.6022,16.546667,77.583336,115.692955,1021.7249,0.3,62.333332,2.505000114440918,0.0,0.28333536,1.1656992,0,22.387317657470703,20.0,20.71619529724121,Low,"{'food_packs': 12.0, 'water_gallons': 12.0, 'shelter_needed': False, 'boats_needed': 0.0}"
East London,-33.0153,27.9116,16.981,62.625,104.462746,1021.0208,0.0,55.875,1.9516667127609253,0.0,0.41666666,1.6332564,0,19.72738265991211,3.0,8.018214797973632,Low,"{'food_packs': 12.0, 'water_gallons': 12.0, 'shelter_needed': False, 'boats_needed': 0.0}"
Mthatha,-31.5889,28.7844,12.708833,73.291664,83.468834,1022.175,0.0,34.208332,0.0,0.0,0.5333455,2.7748055,0,9.611014326413473,18.0,15.483304297924041,Low,"{'food_packs': 12.0, 'water_gallons': 12.0, 'shelter_needed': False, 'boats_needed': 0.0}"
Johannesburg,-26.2041,28.0473,19.204332,19.625,54.153572,1020.4834,0.0,28.833334,0.0,0.0,0.5,1.8711712,0,3.1076422830422716,2.0,2.3322926849126815,Low,"{'food_packs': 12.0, 'water_gallons': 12.0, 'shelter_needed': False, 'boats_needed': 0.0}"
Pretoria,-25.7479,28.2293,21.808916,19.416666,54.277493,1020.4167,0.0,45.291668,0.0,0.0,0.41666666,2.422329,0,3.3913368980089826,2.0,2.4174010694026946,Low,"{'food_packs': 12.0, 'water_gallons': 12.0, 'shelter_needed': False, 'boats_needed': 0.0}"
Bloemfontein,-29.0852,26.1596,16.374334,28.791666,75.268486,1020.0291,0.0,2.9166667,0.0,0.0,0.75,2.4616861,0,5.487947662671408,4.0,4.446384298801422,Low,"{'food_packs': 12.0, 'water_gallons': 12.0, 'shelter_needed': False, 'boats_needed': 0.0}"
Polokwane,-23.9045,29.4689,20.03425,23.25,34.21538,1021.2791,0.0,40.708332,0.0,0.0,0.8333333,1.7342625,0,12.707849144935608,0.0,3.8123547434806824,Low,"{'food_packs': 12.0, 'water_gallons': 12.0, 'shelter_needed': False, 'boats_needed': 0.0}"
Mbombela (Nelspruit),-25.4658,30.9853,20.777582,42.541668,76.50791,1019.8625,0.0,35.125,0.0,0.0,0.7333272,2.3942695,0,15.41122595469157,0.0,4.623367786407471,Low,"{'food_packs': 12.0, 'water_gallons': 12.0, 'shelter_needed': False, 'boats_needed': 0.0}"
Rustenburg,-25.6676,27.2421,19.57075,25.083334,70.71221,1020.92914,0.0,27.041666,0.0,0.0,0.7833252,2.1835718,0,9.3813023964564,0.0,2.8143907189369197,Low,"{'food_packs': 12.0, 'water_gallons': 12.0, 'shelter_needed': False, 'boats_needed': 0.0}"
