date,latitude,longitude,temp_max,temp_min,temp_mean,precipitation,rain,snowfall,precipitation_hours,wind_speed_max,wind_gusts_max,wind_direction,radiation,evapotranspiration,source,fetched_at,location_name,country
2020-01-01,-26.2044,28.0456,25.8,16.4,20.7,0.7,0.7,0.0,3.0,22.7,48.6,349,21.95,4.4,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-02,-26.2044,28.0456,28.1,15.4,21.6,0.1,0.1,0.0,1.0,14.1,36.0,307,28.16,5.9,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-03,-26.2044,28.0456,28.4,15.7,21.7,0.3,0.3,0.0,3.0,20.2,45.4,2,27.39,5.79,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-04,-26.2044,28.0456,27.6,15.0,21.0,0.8,0.8,0.0,2.0,17.7,42.5,345,28.86,5.86,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-05,-26.2044,28.0456,26.8,15.5,21.0,0.2,0.2,0.0,2.0,18.1,43.6,289,25.87,5.6,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-06,-26.2044,28.0456,28.5,16.1,22.0,1.8,1.8,0.0,3.0,15.1,36.7,25,26.32,5.67,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-07,-26.2044,28.0456,25.1,16.1,20.9,4.3,4.3,0.0,11.0,17.1,36.4,48,21.97,4.89,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-08,-26.2044,28.0456,25.2,17.1,20.4,0.4,0.4,0.0,2.0,21.4,50.0,359,17.28,4.27,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-09,-26.2044,28.0456,24.0,16.8,19.9,12.2,12.2,0.0,17.0,18.7,45.0,339,22.82,4.18,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-10,-26.2044,28.0456,24.0,15.8,19.3,0.7,0.7,0.0,6.0,21.3,46.1,93,19.5,3.9,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-11,-26.2044,28.0456,24.0,14.2,18.4,1.7,1.7,0.0,7.0,16.9,36.0,52,22.33,4.25,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-12,-26.2044,28.0456,25.9,14.1,19.7,8.1,8.1,0.0,7.0,10.0,30.2,307,23.16,4.52,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-13,-26.2044,28.0456,26.1,14.6,19.9,1.0,1.0,0.0,7.0,12.3,28.1,101,24.21,4.96,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-14,-26.2044,28.0456,25.0,12.6,18.8,1.3,1.3,0.0,6.0,13.7,31.3,94,25.91,5.08,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-15,-26.2044,28.0456,25.8,13.6,19.6,0.0,0.0,0.0,0.0,14.3,32.0,99,28.38,5.85,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-16,-26.2044,28.0456,26.5,13.7,20.1,0.0,0.0,0.0,0.0,13.8,33.5,90,32.86,6.89,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-17,-26.2044,28.0456,26.2,13.9,20.5,0.0,0.0,0.0,0.0,16.4,31.3,4,28.89,6.03,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-18,-26.2044,28.0456,22.1,16.2,18.6,8.9,8.9,0.0,12.0,12.5,36.7,206,11.98,2.48,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-19,-26.2044,28.0456,25.6,15.4,19.4,3.8,3.8,0.0,8.0,20.6,41.0,106,25.43,4.95,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-20,-26.2044,28.0456,23.4,12.1,18.0,0.9,0.9,0.0,5.0,19.2,41.0,77,24.53,4.67,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-21,-26.2044,28.0456,25.4,12.6,18.4,1.2,1.2,0.0,5.0,14.5,33.8,331,22.48,4.36,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-22,-26.2044,28.0456,27.1,14.1,20.1,0.3,0.3,0.0,3.0,17.9,40.7,297,26.42,5.68,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-23,-26.2044,28.0456,28.2,15.9,21.0,1.2,1.2,0.0,3.0,23.8,53.6,314,28.49,6.07,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-24,-26.2044,28.0456,23.4,14.4,18.6,1.5,1.5,0.0,6.0,23.9,52.2,10,23.95,4.42,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-25,-26.2044,28.0456,22.3,14.4,17.4,11.4,11.4,0.0,11.0,18.8,45.0,335,15.18,2.91,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-26,-26.2044,28.0456,25.5,13.9,19.8,0.1,0.1,0.0,1.0,22.7,51.5,319,27.68,5.52,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-27,-26.2044,28.0456,28.0,13.1,20.8,0.0,0.0,0.0,0.0,12.9,29.5,230,31.08,6.61,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-28,-26.2044,28.0456,25.0,14.5,19.0,0.1,0.1,0.0,1.0,19.7,45.7,325,25.83,5.15,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-29,-26.2044,28.0456,27.1,13.9,20.3,0.0,0.0,0.0,0.0,19.1,41.4,332,28.0,5.93,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-30,-26.2044,28.0456,27.3,17.0,21.7,1.7,1.7,0.0,1.0,16.7,38.9,5,25.07,5.62,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-01-31,-26.2044,28.0456,27.0,14.1,20.7,0.0,0.0,0.0,0.0,16.2,38.9,351,30.05,6.33,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-02-01,-26.2044,28.0456,30.0,14.9,23.0,0.0,0.0,0.0,0.0,15.0,36.7,101,27.58,6.81,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-02-02,-26.2044,28.0456,29.6,14.4,22.4,0.0,0.0,0.0,0.0,17.1,41.0,66,28.56,6.75,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-02-03,-26.2044,28.0456,28.4,13.1,21.5,0.0,0.0,0.0,0.0,13.1,31.3,65,28.0,6.22,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-02-04,-26.2044,28.0456,27.1,15.6,21.3,0.0,0.0,0.0,0.0,15.2,37.4,353,26.21,5.92,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-02-05,-26.2044,28.0456,27.7,16.5,22.0,0.1,0.1,0.0,1.0,16.3,39.2,332,25.98,5.82,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-02-06,-26.2044,28.0456,26.8,17.1,20.7,3.4,3.4,0.0,5.0,17.4,43.6,352,22.48,4.75,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-02-07,-26.2044,28.0456,26.6,16.5,20.0,12.5,12.5,0.0,9.0,17.7,41.4,21,24.53,4.89,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-02-08,-26.2044,28.0456,20.4,15.2,17.3,17.2,17.2,0.0,18.0,26.5,51.5,3,11.86,2.12,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-02-09,-26.2044,28.0456,25.2,13.8,19.3,0.5,0.5,0.0,3.0,17.3,37.4,10,25.16,4.96,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-02-10,-26.2044,28.0456,23.5,14.9,18.9,5.2,5.2,0.0,11.0,20.6,45.4,98,21.11,4.11,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-02-11,-26.2044,28.0456,23.3,13.0,17.1,0.3,0.3,0.0,3.0,22.4,48.6,113,24.05,4.51,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-02-12,-26.2044,28.0456,22.6,11.1,16.8,1.1,1.1,0.0,6.0,16.8,34.9,66,22.22,4.19,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-02-13,-26.2044,28.0456,25.0,12.4,18.9,1.6,1.6,0.0,5.0,11.3,27.0,303,23.1,4.54,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-02-14,-26.2044,28.0456,26.7,14.5,20.8,0.1,0.1,0.0,1.0,10.9,22.7,144,25.51,5.34,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-02-15,-26.2044,28.0456,27.8,14.5,21.3,0.0,0.0,0.0,0.0,16.0,30.6,63,29.71,6.4,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-02-16,-26.2044,28.0456,26.8,14.1,20.9,0.0,0.0,0.0,0.0,14.3,32.4,40,28.77,6.13,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-02-17,-26.2044,28.0456,28.0,14.8,21.8,0.0,0.0,0.0,0.0,13.6,33.5,343,25.09,5.27,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-02-18,-26.2044,28.0456,25.0,17.4,21.0,0.7,0.7,0.0,6.0,22.4,44.6,58,20.78,4.43,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-02-19,-26.2044,28.0456,24.5,16.5,20.1,0.6,0.6,0.0,4.0,15.5,37.8,27,17.82,3.76,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-02-20,-26.2044,28.0456,25.2,15.8,20.6,0.2,0.2,0.0,2.0,19.8,45.7,303,20.73,4.53,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-02-21,-26.2044,28.0456,27.5,16.1,20.8,4.3,4.3,0.0,3.0,10.6,31.3,95,20.19,4.1,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-02-22,-26.2044,28.0456,24.5,16.6,18.7,39.1,39.1,0.0,17.0,17.1,52.2,306,15.42,2.83,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-02-23,-26.2044,28.0456,21.8,13.4,18.2,1.9,1.9,0.0,9.0,21.3,48.2,117,16.84,3.34,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-02-24,-26.2044,28.0456,23.4,10.3,16.5,0.0,0.0,0.0,0.0,19.5,38.9,110,28.18,5.36,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-02-25,-26.2044,28.0456,24.4,11.8,17.6,0.0,0.0,0.0,0.0,13.4,30.2,339,26.45,5.18,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-02-26,-26.2044,28.0456,26.5,11.3,19.4,0.0,0.0,0.0,0.0,10.0,23.8,299,27.73,5.64,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
2020-02-27,-26.2044,28.0456,27.1,13.4,20.7,0.0,0.0,0.0,0.0,15.1,38.5,288,26.61,5.68,open_meteo,2026-01-17T20:00:00.861773,Johannesburg,South Africa
