location,timestamp,anomaly_score_weather,cloud_weather,coastal_distance_weather,elevation_proxy_weather,heat_index_weather,humidity_weather,humidity_trend_weather,is_severe_weather,lat_weather,lon_weather,precip_intensity_weather,precip_mm_weather,precip_trend_3h_weather,pressure_mb_weather,pressure_trend_weather,temp_c_weather,temp_change_rate_weather,urban_density_proxy_weather,wave_height_weather,weather_stability_weather,wind_gust_factor_weather,wind_kph_weather,wind_pressure_ratio_weather,anomaly_score_pred,cloud_pred,coastal_distance_pred,composite_risk_score,elevation_proxy_pred,heat_index_pred,household_resources,humidity_pred,humidity_trend_pred,is_severe_pred,lat_pred,lon_pred,model_risk_score,precip_intensity_pred,precip_mm_pred,precip_trend_3h_pred,pressure_mb_pred,pressure_trend_pred,risk_category,scenario,temp_c_pred,temp_change_rate_pred,urban_density_proxy_pred,wave_height_pred,weather_stability_pred,wind_gust_factor_pred,wind_kph_pred,wind_pressure_ratio_pred
eThekwini (Durban),2025-11-23 03:46:19,25.05728530883789,99.79166412353516,1.021799999999999,996.4675,26.412418365478516,74.16666412353516,1.0,0.0,-29.8587,31.0218,0.0,0.0,0.0,1011.4625854492188,0.600006103515625,22.704084396362305,0.08541663736104965,1.0,1.6866668462753296,253.68878173828125,2.0976648330688477,66.08329010009766,65.33438873291016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Cetshwayo (Richards Bay),2025-11-23 03:46:19,43.328861236572266,99.95833587646484,2.0382999999999996,969.5175,29.114002227783203,74.91666412353516,2.8333332538604736,0.0,-28.7807,32.0383,0.6000000238418579,0.6000000238418579,0.0,1010.8125,0.6999918818473816,25.3681697845459,0.08541671186685562,0.4029538998742657,1.78249990940094,253.80288696289062,2.2471461296081543,81.82266235351562,80.94741821289062,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ugu (Port Shepstone),2025-11-23 03:46:19,23.133007049560547,92.29166412353516,0.4540000000000006,981.465,26.091001510620117,73.08333587646484,0.8333333134651184,0.0,-30.7414,30.454,0.0,0.0,0.0,1011.5958862304688,0.5,22.43683433532715,0.05625001713633537,0.4879118754913224,1.875,250.24234008789062,2.237103223800659,78.33030700683594,77.43241119384766,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iLembe (Ballito),2025-11-23 03:46:19,22.38912466975694,90.375,1.2139999999999986,988.4725000000001,27.953750610351562,76.41666412353516,-0.6666666865348816,0.0,-29.5389,31.214,0.0,0.0,0.0,1010.9083862304688,0.6666666865348816,24.132917404174805,0.07708326727151871,0.7282724877016098,0.0,259.9855041503906,1.9877636432647705,77.97570037841797,77.13429260253906,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uThukela (Ladysmith),2025-11-23 03:46:19,43.48516997350841,94.79166412353516,0.2215999999999987,963.8475,24.453250885009766,78.25,1.0,0.0,-28.5539,29.7784,2.7333331637912326,24.599998474121094,-0.843137264251709,1012.82080078125,0.6833292841911316,20.54075050354004,0.06458330154418945,0.3568404995576555,0.0,269.99053955078125,2.7771222591400146,65.264892578125,64.43873596191406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uMgungundlovu (Pietermaritzburg),2025-11-23 03:46:19,36.366098675896694,97.41666412353516,0.3794000000000004,990.015,23.902999877929688,75.41666412353516,1.8333333730697632,0.0,-29.6006,30.3794,0.40000001589457196,1.2000000476837158,0.0,1012.61669921875,0.5666707158088684,20.132165908813477,0.09791668504476547,0.5909082261403245,0.0,260.5246887207031,1.9626699686050415,49.316158294677734,48.70170211791992,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amajuba (Newcastle),2025-11-23 03:46:19,91.32258678866052,98.58333587646484,0.06820000000000093,943.9425,21.176332473754883,78.16666412353516,3.8333332538604736,0.0,-27.7577,29.9318,1.9500001271565754,11.700000762939453,0.3750000298023224,1014.2750854492188,0.866668701171875,17.26799964904785,0.07083332538604736,0.2970075269509056,0.0,273.135498046875,2.049528121948242,108.19853210449219,106.67572784423828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uthungulu (Empangeni),2025-11-23 03:46:19,41.5783490507764,99.91666412353516,1.8933,968.7225,28.157249450683594,73.66666412353516,1.6666666269302368,0.0,-28.7489,31.8933,0.20000000794728598,0.6000000238418579,0.0,1010.9208374023438,0.7166748046875,24.47391700744629,0.09166669845581055,0.4147505834957422,0.0,250.34519958496094,2.08138108253479,68.9808120727539,68.2356185913086,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMkhanyakude (Mtubatuba),2025-11-23 03:46:19,58.93735547011405,99.79166412353516,2.1822000000000017,960.4399999999999,29.033750534057617,74.25,3.3333332538604736,0.0,-28.4176,32.1822,0.6499999761581421,3.8999998569488525,0.16666656732559204,1011.0291137695312,0.7166646122932434,25.321250915527344,0.0625,0.35085066462760145,0.0,251.63783264160156,2.1421375274658203,62.598270416259766,61.91539764404297,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zululand (Vryheid),2025-11-23 03:46:19,74.05066159006506,98.5,0.791599999999999,944.2375000000001,22.73491668701172,80.83333587646484,3.0,0.0,-27.7695,30.7916,2.3499999046325684,14.09999942779541,-0.6060606241226196,1013.7041625976562,0.883331298828125,18.69325065612793,0.07708338648080826,0.3223888639188989,0.0,280.915283203125,2.311929225921631,57.551734924316406,56.77369689941406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
